"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Memory","Network.Performance","Cache.Engine","Storage.Media","Group","Group.Description","usageType","operation","Region","Endpoint","Protocol"
"1249","US West (N. California)","CZZTDKYTFNRV54X3","YTVHEVGPBZ","CZZTDKYTFNRV54X3.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",1894,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.4xlarge","No","Memory optimized",8,"68 GiB","High","Redis","","","","USW1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1250","US West (N. California)","52F5J3KSUKGUZ2DA","YTVHEVGPBZ","52F5J3KSUKGUZ2DA.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.c1.xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.297,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.c1.xlarge","No","Compute optimized",8,"6.6 GiB","High","Memcached","","","","USW1-NodeUsage:cache.c1.xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1251","US West (N. California)","A8DRGNT67N2JBQ6V","YTVHEVGPBZ","A8DRGNT67N2JBQ6V.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.2xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.31,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.2xlarge","Yes","Standard",8,"29.7 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m4.2xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1252","US West (N. California)","PVQG6KRTS45ZNVJ7","JRBFQ5DASS","PVQG6KRTS45ZNVJ7.JRBFQ5DASS.6YS6EN2CT7","Reserved","USD 0.229 per Redis, cache.m2.2xlarge instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.229,"USD","","1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.2xlarge","No","Memory optimized",4,"33.8 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1253","US West (N. California)","QZ6JK2KHAP84WPSR","YTVHEVGPBZ","QZ6JK2KHAP84WPSR.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.r3.8xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",1.276,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.8xlarge","Yes","Memory optimized",32,"237 GiB","10 Gigabit","Memcached","","","","USW1-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1254","US West (N. California)","QMNB3VK92Z5RBEFP","YTVHEVGPBZ","QMNB3VK92Z5RBEFP.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",443,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m3.large","Yes","Standard",2,"6.05 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m3.large","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1255","US West (N. California)","ARYR44RCKD3MXY8U","JRBFQ5DASS","ARYR44RCKD3MXY8U.JRBFQ5DASS.6YS6EN2CT7","Reserved","USD 0.058 per Redis, cache.m1.medium instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.058,"USD","","1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.medium","No","Standard",1,"3.35 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m1.medium","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1256","US West (N. California)","YWDES45HFEVABQ8B","DK9W8XRWES","YWDES45HFEVABQ8B.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.332 per ElastiCache, cache.m1.xlarge instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.332,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.xlarge","No","Standard",4,"14.6 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1257","US West (N. California)","WFA4VYWET8NE6NNX","YTVHEVGPBZ","WFA4VYWET8NE6NNX.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m2.xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.095,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.xlarge","No","Memory optimized",2,"16.7 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1258","US West (N. California)","PVQG6KRTS45ZNVJ7","JRBFQ5DASS","PVQG6KRTS45ZNVJ7.JRBFQ5DASS.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",NA,NA,"Quantity",781,"USD","","1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.2xlarge","No","Memory optimized",4,"33.8 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1259","US West (N. California)","KRQHZ3VRXQ8RFY3U","YTVHEVGPBZ","KRQHZ3VRXQ8RFY3U.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.r3.xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.16,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.xlarge","Yes","Memory optimized",4,"28.4 GiB","Moderate","Memcached","","","","USW1-NodeUsage:cache.r3.xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1260","US West (N. California)","S8NM52G7EYMVQHTS","YTVHEVGPBZ","S8NM52G7EYMVQHTS.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",11160,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.8xlarge","Yes","Memory optimized",32,"237 GiB","10 Gigabit","Redis","","","","USW1-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1261","US West (N. California)","5ZD48SE6KC9H92BU","DK9W8XRWES","5ZD48SE6KC9H92BU.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.166 per Redis, cache.m1.large instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.166,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.large","No","Standard",2,"7.1 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m1.large","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1262","US West (N. California)","4EVZS4Y8WW5AE7K8","YTVHEVGPBZ","4EVZS4Y8WW5AE7K8.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",5580,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.4xlarge","Yes","Memory optimized",16,"118 GiB","High","Redis","","","","USW1-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
