"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Group","Group Description","usageType","operation"
"YJYH7W53Q6M43T55","JRTCKXETXF","YJYH7W53Q6M43T55.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.604 per  High Memory Double Extra Large Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.6040000000","USD",,,,,"Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Memcached",,,,"NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0001"
"NHM9WRV9FFJZ5H6E","YTVHEVGPBZ","NHM9WRV9FFJZ5H6E.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","3262","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Frankfurt)","AWS Region","cache.m4.4xlarge","Yes","Standard","16","60.78 GiB","High","Redis",,,,"EUC1-NodeUsage:cache.m4.4xlarge","CreateCacheCluster:0002"
"DGJ4S737HQCSGHFR","YTVHEVGPBZ","DGJ4S737HQCSGHFR.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","12432","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.r3.8xlarge","Yes","Memory optimized","32","237 GiB","10 Gigabit","Memcached",,,,"APN1-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0001"
"3NHD5RUU9HW53H3M","YTVHEVGPBZ","3NHD5RUU9HW53H3M.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.t2.medium instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0420000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.t2.medium","Yes","Standard","2","3.22 GiB","Low to Moderate","Memcached",,,,"APS2-NodeUsage:cache.t2.medium","CreateCacheCluster:0001"
"U2DBT8C6P8HXZZA8","VG8YD49WWM","U2DBT8C6P8HXZZA8.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.r3.4xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.5250000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r3.4xlarge","Yes","Memory optimized","16","118 GiB","High","Redis",,,,"APS1-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0002"
"29H9SEJUHMYKSTAG","JRBFQ5DASS","29H9SEJUHMYKSTAG.JRBFQ5DASS.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","407","USD",,"1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.xlarge","No","Memory optimized","2","16.7 GiB","Moderate","Redis",,,,"APN1-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0002"
"9JQZFMXBA5DVY5GV","YTVHEVGPBZ","9JQZFMXBA5DVY5GV.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m2.2xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.2230000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Redis",,,,"APN1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002"
"DNUJSJQ6H2AEQK8B","VG8YD49WWM","DNUJSJQ6H2AEQK8B.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m1.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1450000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"SAE1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"UMQXGVFERE6SJ79P","DK9W8XRWES","UMQXGVFERE6SJ79P.DK9W8XRWES.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","177","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m1.large","No","Standard","2","7.1 GiB","Moderate","Memcached",,,,"NodeUsage:cache.m1.large","CreateCacheCluster:0001"
"EEC5EYPCYAXZEGR6","YTVHEVGPBZ","EEC5EYPCYAXZEGR6.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","224","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Canada (Central)","AWS Region","cache.t2.medium","Yes","Standard","2","3.22 GiB","Low to Moderate","Memcached",,,,"CAN1-NodeUsage:cache.t2.medium","CreateCacheCluster:0001"
"PZHBHKA5RYA4H5KV","JRTCKXETXF","PZHBHKA5RYA4H5KV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.238 per Enhanced Large Cache node-hour (or partial hour) running Redis","2016-11-01","0","Inf","Hrs","0.2380000000","USD",,,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Redis",,,,"APN2-NodeUsage:cache.m3.large","CreateCacheCluster:0002"
"98EK2UGECGMXGZZD","JRTCKXETXF","98EK2UGECGMXGZZD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.085 per additional GB-month of backup storage exceeding free allocation","2016-11-01","0","Inf","GB-Mo","0.0850000000","USD",,,,,"Storage Snapshot","AmazonElastiCache","South America (Sao Paulo)","AWS Region",,,,,,,,"Amazon S3",,,"SAE1-ElastiCache:BackupUsage","CreateCacheSnapshot"
